X,Y,Z,Name,Category,Price,Suburb,Pog Approved,,,,,,,,
151.2458154,-33.8042783,0,Ormeggio at The Spit,Italian,$$$$,Mosman,N,,,?,Italian,,,,
151.2093471,-33.8863627,0,PorteÒo,Steakhouse,$$$$$,Surry Hills,N,,,?,Steakhouse,,,,
151.1665381,-33.9113031,0,Baba's Place,Middle-Eastern,$$$,Marrickville,N,,,?,Middle-Eastern,,,,
151.209904,-33.8788571,0,Kiln,Australian,$$$,CBD,N,,,?,Australian,,,,
151.2416013,-33.8782013,0,bibo Wine Bar,Wine Bar,$$$,Double Bay,N,,,?,Wine Bar,,,,
151.2369444,-33.8883333,0,Bistro Moncur,French,$$$$,Woollahra,N,,,?,French,,,,
151.2325627,-33.8884607,0,I Maccheroni,Italian,$$$,Woollahra,N,,,?,Italian,,,,
151.2560592,-33.9202552,0,Osteria Coogee,Italian,$$$,Coogee,N,,,?,European,,,,
151.0939125,-33.8722759,0,CafÈ Crop Strathfield,Bingsu,$,Strathfield,N,,,?,Bingsu,,,,
151.2105959,-33.8625005,0,Bouillon L'EntrecÙte,French,$$$$,Circular Quay,Y,,,?,French,,,,
151.2145394,-33.8783974,0,THEECA,Brunch,$$,Darlinghurst,Y,,,?,Brunch,,,,
151.2076641,-33.866358,0,Oti',Sandwiches,$$,CBD,Y,,,?,Sandwiches,,,,
151.2088787,-33.8622072,0,Kosta's Takeaway Circular Quay,Sandwiches,$$,Circular Quay,Y,,,?,Sandwiches,,,,
151.2102926,-33.8868843,0,Izakaya Fujiyama,Japanese,$$,Surry Hills,Y,,,?,Japanese,,,,
151.2078521,-33.8640567,0,Mr. Wong,Cantonese,$$$$,CBD,Y,,,?,Cantonese,,,,
151.2141447,-33.8918838,0,Sofia on Cleveland,Greek,$$$,Surry Hills,Y,,,?,Greek,,,,
151.2012965,-33.8648912,0,Zushi Barangaroo - Japanese Restaurant,Japanese,$$$,Barangaroo,Y,,,?,Japanese,,,,
151.2022326,-33.8778097,0,Ume Burger Darling Square,Burgers,$,Haymarket,Y,,,?,Burgers,,,,
151.3089195,-33.6605504,0,Bert's Bar and Brasserie,Steakhouse,$$$$,Newport,Y,,,?,Steakhouse,,,,
151.2507367,-33.8950188,0,Rosso Pomodoro Bondi Junction,Italian,$$,Bondi Junction,Y,,,?,Italian,,,,
151.272552,-33.88753,0,"Society Pizza Bar, Bondi Beach",Italian,$$,Bondi,Y,,,?,Italian,,,,
151.211934,-33.863968,0,Bar Luca,Burgers,$$,CBD,Y,,,?,Burgers,,,,
151.153467,-33.8965223,0,Frango Petersham,Chicken,$,Petersham,Y,,,?,Chicken,,,,
151.2834692,-33.8897583,0,Little L Burgers,Burgers,$,Bondi,Y,,,?,Burgers,,,,
151.2687898,-33.8948987,0,Totti's,Italian,$$$,Bondi,Y,,,?,Italian,,,,
151.2782782,-33.8591237,0,Washoku Vaucluse,Japanese,$$,Vaucluse,Y,,,?,Japanese,,,,
151.278172,-33.888589,0,Raw Bar,Japanese,$$,Bondi,Y,,,?,Japanese,,,,
151.2713575,-33.887647,0,S'WICH | bondi,Sandwiches,$$,Bondi,Y,,,?,Sandwiches,,,,
151.214503,-33.881331,0,Zushi Surry Hills - Japanese Restaurant,Japanese,$$$,Surry Hills,Y,,,?,Japanese,,,,
151.1783181,-33.8567842,0,Rosso Balmain,Italian,$$,Balmain,N,,,?,Italian,,,,
151.259944,-33.8755426,0,Washoku Rose Bay,Japanese,$$,Rose Bay,Y,,,?,Japanese,,,,
151.1091362,-33.9278857,0,Nieo's Grille Earlwood,Chicken,$,Earlwood,Y,,,?,Chicken,,,,
151.2253578,-33.8708503,0,The Apollo Restaurant,Greek,$$$,Potts Point,Y,,,?,Greek,,,,
151.171047,-33.899767,0,Stix & Pita,Greek,$,Enmore,Y,,,?,Greek,,,,
151.2728897,-33.8926802,0,Ikaria Bondi,Greek,$$$,Bondi,N,,,?,Greek,,,,
151.2046678,-33.8707332,0,Medusa Greek Taverna,Greek,$$$,CBD,N,,,?,Greek,,,,
151.1028624,-33.8562048,0,Frango Concord,Chicken,$,Concord,N,,,?,Chicken,,,,
151.1714313,-33.9079146,0,Frango Marrickville Metro,Chicken,$,Marrickville,Y,,,?,Chicken,,,,
151.2102038,-33.866098,0,Rockpool Bar & Grill Sydney,Steakhouse,$$$$$,CBD,Y,,,?,Steakhouse,,,,
151.1752725,-33.8858474,0,Grumpy Donuts,Dessert,$,Camperdown,N,,,?,Dessert,,,,
151.243308,-33.9204334,0,Del Punto,Spanish,$$,Randwick,Y,,,?,Spanish,,,,
151.2424839,-33.9199667,0,Mammas and Papas Ristorante and Pizzeria,Italian,$$,Randwick,Y,,,?,Italian,,,,
151.2114053,-33.8828131,0,Shaffa,Middle-Eastern,$$$$,Surry Hills,Y,,,?,Middle-Eastern,,,,
151.209152,-33.875305,0,Alpha Dining,Greek,$$$$,CBD,N,,,?,Greek,,,,
151.2003562,-33.9222063,0,Mega Gyros Rosebery,Greek,$,Roseberry,Y,,,?,Greek,,,,
151.1281642,-33.9450366,0,Gyradiko Bexley,Greek,$$,Bexley,Y,,,?,Greek,,,,
151.2224665,-33.8726326,0,Ms.G's,Asian-Fusion,$$$,Potts Point,Y,,,?,Asian-Fusion,,,,
151.2239622,-33.8744308,0,Ezra,Middle-Eastern,$$$$,Potts Point,N,,,?,Middle-Eastern,,,,
151.2062418,-33.8693274,0,Industry Beans York St,Brunch,$,CBD,N,,,?,Brunch,,,,
151.2183911,-33.9101239,0,Bar Lucio,Brunch,$,Kensington,N,,,?,Brunch,,,,
